player_name,num_of_matches,win_rate,aces_per_svpt,df_rate,first_serve_in_pct,first_serve_won_pct,second_serve_in_pct,second_serve_won_pct,bp_faced_per_match,bp_saved_pct
Adrian Mannarino,251,0.5059760956175299,0.07120235363184799,0.02908093476024942,0.6034346519836558,0.7150709945635093,0.39656534801634413,0.5265654709598399,6.32258064516129,0.552107057355536
Albert Ramos,91,0.3076923076923077,0.04233973304401105,0.03311731173118585,0.611556299191347,0.6826493460017912,0.388443700808653,0.49656686353607427,7.644444444444445,0.5581741806173625
Alejandro Davidovich Fokina,137,0.48905109489051096,0.0469333438608587,0.029024715230372644,0.6539399101403301,0.6717191439246015,0.34606008985966985,0.5056270816444233,7.41044776119403,0.568696458353741
Alejandro Tabilo,53,0.4716981132075472,0.10465346086687743,0.03617654242080656,0.640559483366977,0.7273671311296067,0.359440516633023,0.5080134301549596,6.384615384615385,0.5459390945311998
Aleksandar Vukic,63,0.42857142857142855,0.11451212411474875,0.023885650090625057,0.5916999130912632,0.7364360062015834,0.40830008690873665,0.5167331650644263,6.238095238095238,0.5600685194435194
Alex De Minaur,291,0.6494845360824743,0.05598654037200134,0.03072114278393368,0.5930444493453566,0.7248933973287218,0.4069555506546434,0.5331369737464793,6.042857142857143,0.5897016667817383
Alex Michelsen,54,0.5370370370370371,0.06547626564352249,0.03153407657186484,0.6657312077408226,0.7026154980439077,0.33426879225917744,0.511200620017691,6.462962962962963,0.6124729437229437
Alexander Bublik,188,0.4946808510638298,0.1501025107825319,0.08535371960080361,0.5922139642965248,0.766398717770449,0.40778603570347505,0.44769853087438227,6.590163934426229,0.614780202204793
Alexander Shevchenko,54,0.46296296296296297,0.07201916574852077,0.032717634206812556,0.5970123649114523,0.7047645186960702,0.4029876350885478,0.4992639938082006,7.150943396226415,0.5746579809079809
Alexander Zverev,295,0.7186440677966102,0.1292448439031985,0.04395177184840958,0.6853893114085571,0.7683541268015924,0.31461068859144287,0.5179717850140308,5.053191489361702,0.6109651535248208
Alexei Popyrin,142,0.4788732394366197,0.11692940492116231,0.0428659711654978,0.612698640021959,0.7483108435711048,0.3873013599780411,0.509307134613441,6.404255319148936,0.6418517054600532
Aljaz Bedene,59,0.4406779661016949,0.129763760913391,0.04152750406891998,0.5738498510055463,0.7739851172854311,0.42615014899445375,0.47847945717935214,6.5,0.5897851875793052
Andreas Seppi,82,0.4878048780487805,0.0701278454466053,0.03165392681984012,0.5818925743725848,0.7124742907827133,0.4181074256274152,0.494274651585313,7.646341463414634,0.5416026360470805
Andrey Rublev,327,0.6666666666666666,0.1092224874043229,0.03319035348933636,0.6116438215376703,0.7769909260667663,0.3883561784623298,0.5173158861398808,5.249221183800623,0.6304977325182499
Andy Murray,132,0.5227272727272727,0.08184523506134514,0.03473940989928332,0.58538963966626,0.7325811945472483,0.41461036033374,0.5007600068933917,6.84375,0.5897094367381253
Arthur Fils,65,0.5846153846153846,0.09973780987659299,0.04371012927427819,0.6158238197392155,0.7771808877043032,0.38417618026078443,0.5094912912625496,5.40625,0.6084583934583935
Arthur Rinderknech,97,0.4948453608247423,0.13092890917865446,0.024373212059724727,0.6460531008704867,0.7563671972744371,0.3539468991295132,0.48780579196926244,5.666666666666667,0.6308616240268667
Aslan Karatsev,102,0.5098039215686274,0.07382578691539775,0.05547024038178295,0.5904568613634154,0.7315837957535257,0.40954313863658465,0.5078309133422456,6.71,0.5976267556617788
Ben Shelton,89,0.6067415730337079,0.11777040966413063,0.04222542205685044,0.6709143631389081,0.7684351767691924,0.32908563686109193,0.559551237154636,5.46067415730337,0.6581965918393654
Benjamin Bonzi,71,0.4507042253521127,0.08747615854533569,0.027214025429325852,0.6118542263032313,0.7371965683031809,0.3881457736967686,0.519825517289268,6.507462686567164,0.576484162467769
Benoit Paire,130,0.4153846153846154,0.11750784167609557,0.082191450011927,0.5227899574571325,0.7613740570746651,0.47721004254286736,0.423749686070031,7.915384615384616,0.5551031236173815
Borna Coric,168,0.5773809523809523,0.08939738292916158,0.02771814802459367,0.6338242337851505,0.7361994053177757,0.36617576621484943,0.5423382867261066,5.9375,0.6142138062129835
Botic Van De Zandschulp,125,0.512,0.08091539778180727,0.0474385795907619,0.63390819153868,0.7205678104385533,0.36609180846131995,0.4730223324694301,7.033057851239669,0.5955802628195115
