player_id,aces_per_svpt,df_rate,first_serve_in_pct,first_serve_won_pct,second_serve_won_pct,bp_faced_per_match,bp_saved_pct,return_points_won_pct,bp_converted_pct,win_rate,avg_rank,matches_played,rank_band,aces_per_svpt_zscore,df_rate_zscore,first_serve_in_pct_zscore,first_serve_won_pct_zscore,second_serve_won_pct_zscore,bp_faced_per_match_zscore,bp_saved_pct_zscore,return_points_won_pct_zscore,bp_converted_pct_zscore
100644,0.13130791728223662,0.04375925489770666,0.6885430285111763,0.765951188292812,0.512046635026304,5.09009009009009,0.6035727800816649,0.3716915969661898,0.435331776854388,0.6696696696696697,6.6996996996997,333,top,1.050639299257011,0.8422149747621723,1.7134521110922378,0.7161618838290524,-0.4531911784722057,-0.7363724457098895,0.0007970894600897637,0.23097931123393073,0.4412249910018545
103333,0.23113591586281365,0.04815066183176776,0.6535407244491399,0.8223093717401568,0.5424130691631638,4.071428571428571,0.7052767052767053,0.25938638690345,0.24335600907029478,0.35714285714285715,101.47619047619048,42,low,2.8495020445034216,1.075457425505963,1.0835903946150867,2.3306157557291747,1.611019459816362,-2.2862953509628214,2.4627497150600597,-3.2820181339222496,-3.5247966003303075
103819,0.11709708878231474,0.023591354834328823,0.6330146438134506,0.7892114044226728,0.5891762494548634,4.0,0.6533480408480409,0.3891339776073393,0.45122118622118623,0.7570093457943925,3.121495327102804,107,top,0.6947489769340764,-0.9374849078072752,0.026835702397593843,1.3000208653395007,2.2307272520757397,-1.7251517994345735,1.3600134247526974,0.9703684472502879,0.8960606658643167
103852,0.14963557294662422,0.051935592155464116,0.5698891731225244,0.7684997466235015,0.47534291759693353,7.024390243902439,0.6407969667463338,0.3097717522267812,0.3526679448079042,0.36585365853658536,96.35365853658537,82,low,1.1859819746338096,1.4574173220162947,-1.2083389996467848,1.1319778044452418,-0.8382063968418869,0.1283651606354051,1.085493668601487,-1.2073803308085633,-1.079202682284283
104259,0.06393640653680044,0.022429201298570803,0.6200854913241561,0.7150221977522104,0.5434566555641682,6.53030303030303,0.6388126646509499,0.33331416618310455,0.39234478756537583,0.4696969696969697,56.13636363636363,66,high,-0.7021475225820448,-1.1120760792310713,0.2629893190693723,-0.4455939096370589,1.4663946443789626,0.046615499280866966,1.2294150079655606,-0.7703609498686218,-0.27955015625717144
104269,0.09096684639156176,0.045562261324537126,0.6315624862005564,0.7197087079559489,0.4891726162165103,7.0,0.5928158283875162,0.3669544806657423,0.39026853616236556,0.43333333333333335,48.644444444444446,90,high,-0.0886953208704692,0.5325336384217758,0.6732899571536849,-0.32034203119894844,-0.5964260748807834,0.545203717363531,0.04734079789175375,0.8195221084273876,-0.3443627516799142
104291,0.0510339856748223,0.043679176243208426,0.5389347320245244,0.6604467110136494,0.4638010363130178,8.10204081632653,0.5183621450578233,0.3221890679824637,0.40123291342803535,0.3673469387755102,129.77551020408163,49,low,-0.8265950707943036,0.6242131418369296,-2.0564451293041945,-1.274960897555019,-1.2596856005549082,1.0095687017412052,-1.5296549394864996,-0.696092330520727,0.007322691967462202
104312,0.07048076851032568,0.03241479564281195,0.5818899113710255,0.7130330659563241,0.49651048000608317,7.597701149425287,0.5359308327331583,0.36347458383380615,0.442923057334822,0.4942528735632184,72.08045977011494,87,high,-0.553624106646976,-0.40216543720426917,-1.1024962453613407,-0.49875553375920284,-0.3175835708568121,1.1796697034442511,-1.4145485789789987,0.6550578606104197,1.2993091914098156
104468,0.05163087851745368,0.03377203110964893,0.5960052732903584,0.694324012937934,0.49435528472182855,6.695652173913044,0.5448472181061639,0.38206926306947614,0.4351406635291757,0.4956521739130435,62.495652173913044,115,high,-0.9814198280736643,-0.30567484601582784,-0.5978744288785097,-0.9987745100290648,-0.3994820725128636,0.22213533481908437,-1.1854060976103815,1.5338655039366544,1.0563727433407084
104527,0.10759303490881965,0.02250134304377544,0.580991897431057,0.7641656150845942,0.5282652557664528,6.211538461538462,0.6134128274665359,0.3421296678020042,0.3758259473616498,0.5384615384615384,75.9423076923077,156,mid,0.7662439351847596,-0.9143994637712998,-1.173017223803548,1.3422985429120136,1.050613571348235,-0.7467286990837285,0.681250451239393,-0.370005992906064,-0.9145619690651087
